ID,title,category,core_skills,further_skills,letter
59233,Agrarbiologe/-biologin,Tätigkeit nach Studium,"['Agrarbiologie', 'Biotechnologie', 'Bodenkunde', 'Entwicklung', 'Forschung', 'Laborarbeiten, Labortechnik', 'Mikrobiologie', 'Naturschutz', 'Pflanzenphysiologie', 'Pflanzenschutz', 'Pflanzenzucht', 'Tierhaltung, Tierproduktion', 'Umweltschutz, Umwelttechnik', 'Versuchsdurchführung und -auswertung']","['Bakteriologie', 'Biochemie', 'Botanik', 'Enzymologie', 'Fachpublikationen erstellen', 'Gentechnologie', 'Gewässerüberwachung, Abwasserbiologie', 'Gutachter-, Sachverständigentätigkeit', 'Klimawandelanpassung', 'Kundenberatung, -betreuung', 'Lehrtätigkeit (Hochschule)', 'Ökologie', 'Patent- und Markenrecht', 'Phytopathologie (Lehre von den Pflanzenkrankheiten)', 'Projektmanagement', 'Qualitätsmanagement', 'Sachkundenachweis nach Pflanzenschutz-Sachkundeverordnung', 'Toxikologie', 'Virologie', 'Wissenschaftliche Dokumentation']",
94180,Agrarbiologie (grundständig),Studienfach,,,
94368,Agrarmanagement (grundständig),Studienfach,,,
94082,Agrarmanagement (weiterführend),Studienfach,,,
90071,Agrarservicemeister/in,Meisterweiterbildung,"['Ackerbau', 'Arbeitsvorbereitung', 'Betriebsmitteleinsatz planen', 'Grünlandwirtschaft', 'Kalkulation', 'Kundenberatung, -betreuung', 'Landschaftspflege', 'Maschineneinsatz (Landwirtschaft, Forst, Garten)', 'Personalplanung', 'Wartung, Reparatur, Instandhaltung']","['Ausbildereignungsprüfung', 'Betriebsleitung, Betriebsführung', 'Bodenbearbeitung, Kulturarbeiten', 'Bodenkunde', 'Düngung', 'Erntearbeiten', 'Farm-Management-Systeme', 'Forstwirtschaft', 'Gemüsebau', 'Getreidebau', 'Klimawandelanpassung', 'Kosten- und Leistungsrechnung', 'Naturschutz', 'Ökologischer Anbau, Biologischer Anbau', 'Pflanzenschutz', 'Qualitätsprüfung, Qualitätssicherung', 'Saatzucht', 'Sachkundenachweis nach Pflanzenschutz-Sachkundeverordnung', 'Schädlingsbekämpfung']",
93756,Agrarwissenschaft (grundständig),Studienfach,,,
94200,Agrarwissenschaft (weiterführend),Studienfach,,,
58714,Agrarwissenschaftler/in,Tätigkeit nach Studium,"['Agrarbiologie', 'Agrarökonomie', 'Agrartechnik, Landmaschinentechnik', 'Agrarwissenschaften', 'Betriebsmitteleinsatz planen', 'Biochemie', 'Bodenkunde', 'Entwicklung', 'Forschung', 'Gewässerschutz', 'Laborarbeiten, Labortechnik', 'Lagerwirtschaft', 'Ökologischer Anbau, Biologischer Anbau', 'Pflanzenschutz', 'Phytopathologie (Lehre von den Pflanzenkrankheiten)', 'Tierhaltung, Tierproduktion', 'Vertrieb']","['Ackerbau', 'Agrarpolitik', 'Arbeitsvorbereitung', 'Betriebsleitung, Betriebsführung', 'Bewässerungstechnik', 'Biotechnologie', 'Futtermittelanalysen, -gewinnung', 'Grünlandwirtschaft', 'Gutachter-, Sachverständigentätigkeit', 'Klimawandelanpassung', 'Kosten- und Leistungsrechnung', 'Kundenberatung, -betreuung', 'Pflanzenphysiologie', 'Pflanzenzucht', 'Qualitätsmanagement', 'Sachkundenachweis nach Pflanzenschutz-Sachkundeverordnung', 'Tierkrankheiten', 'Tierseuchenbekämpfung, Tierüberwachung', 'Umweltschutz, Umwelttechnik', 'Versuchsdurchführung und -auswertung']",
100520,Aktuar/in,Weiterbildung nach Studium,"['Aktuar (Deutsche Aktuarvereinigung)', 'Entwicklung', 'Statistik', 'Versicherungsmathematik', 'Wirtschaftsmathematik']","['Betriebswirtschaftslehre', 'Finanzdienstleistungsberatung', 'Finanzmathematik', 'Gutachter-, Sachverständigentätigkeit', 'Kundenberatung, -betreuung', 'Marktforschung', 'Operations Research', 'Risikomanagement, Risikocontrolling', 'Volkswirtschaftslehre']",
59533,Akustiker/in,Berufliche Einsatzmöglichkeit,"['Akustik', 'Angewandte Physik', 'Bauakustik', 'Elektroakustik', 'Entwicklung', 'Forschung', 'Physikalische Mess-, Prüfverfahren']","['Anwendungstechnik, Anwendungsberatung', 'Beschallungstechnik', 'Dokumentation (technisch)', 'Elektrotechnik', 'Experimentelle Physik', 'Fachpublikationen erstellen', 'Gutachter-, Sachverständigentätigkeit', 'Hörgeräteakustik', 'Kundendienst', 'Laborarbeiten, Labortechnik', 'Lärmschutz', 'Lehrtätigkeit (Hochschule)', 'Patent- und Markenrecht', 'Projektmanagement', 'Qualitätsmanagement', 'Schalldämmungen herstellen', 'Technische Physik', 'Theoretische Physik', 'Vertrieb', 'Vortragstätigkeit']",
30255,Algesiologe/Algesiologin,Weiterbildung nach Studium,"['Diagnose', 'Neurophysiologie', 'Patientenbetreuung', 'Schmerztherapie']","['Abrechnung', 'Anamnese', 'Fachpublikationen erstellen', 'Forschung', 'Gesundheitsvorsorge (Prävention)', 'Gutachter-, Sachverständigentätigkeit', 'Lehrtätigkeit (Hochschule)', 'Medizinische Dokumentation', 'Qualitätsmanagement', 'Rehabilitation', 'Vortragstätigkeit']",
29414,Alleinsteuermann/-frau,Berufliche Einsatzmöglichkeit,"['Nautischer Dienst', 'Navigation (Nautik)', 'Schifffahrtsrecht', 'Schiffs-, Bootsführung', 'Schiffsbetriebstechnik']","['Arbeitsschutz, Unfallverhütung', 'Beladeplanerstellung', 'Gefahrgutverladung, -versendung, -transport', 'Güterverkehr', 'Ladungssicherung', 'Ladungs- und Umschlagtechnik', 'Maschinenführung, Anlagenführung, -bedienung', 'Massengut', 'Personenverkehr', 'Rettungsmaßnahmen, Erste Hilfe', 'Seediensttauglichkeit', 'Sicherheitstechnik', 'Stückgut', 'Wartung, Reparatur, Instandhaltung']",
94216,Allg. und vergleichende Kulturwissenschaft (grundständig),Studienfach,,,
93885,Allg. und vergleichende Kulturwissenschaft (weiterführend),Studienfach,,,
93798,Allg. und vergleichende Literaturwissenschaft (grundständig),Studienfach,,,
94177,Allg. und vergleichende Literaturwissenschaft (weiterführ.),Studienfach,,,
93737,Allg. und vergleichende Sprachwissenschaft (grundständig),Studienfach,,,
93924,Allg. und vergleichende Sprachwissenschaft (weiterführend),Studienfach,,,
93863,Alte Musik (grundständig),Studienfach,,,
93967,Alte Musik (weiterführend),Studienfach,,,
9063,Altenpflegehelfer/in,Ausbildung Berufsfachschule,"['Altenpflege', 'Grundpflege', 'Pflegehilfe (Alten-, Kranken-, Behindertenpflege)']","['Altenarbeit, Seniorenarbeit', 'Ambulante/mobile Pflege', 'Ambulante Wohnbetreuung', 'Blutdruckmessung', 'Diätetik', 'Freizeitgestaltung', 'Geriatrie, Gerontologie (Pflege, Assistenz)', 'Gesundheitsvorsorge (Prävention)', 'Hauswirtschaft', 'Pflegedokumentation', 'Qualifizierung zur medizinischen Behandlungspflege nach SGB V/XI', 'Rehabilitation (Pflege, Assistenz)', 'Rettungsmaßnahmen, Erste Hilfe', 'Sterbebegleitung']",
9065,Altenpfleger/in,Ausbildung Berufsfachschule,"['Altenpflege', 'Ambulante/mobile Pflege', 'Angehörigenberatung', 'Behandlungspflege', 'Geriatrie, Gerontologie (Pflege, Assistenz)', 'Grundpflege', 'Krankenhaus-, Praxishygiene', 'Patientenbetreuung', 'Pflegedokumentation', 'Rettungsmaßnahmen, Erste Hilfe', 'Stationsdienst', 'Sterbebegleitung']","['Altenarbeit, Seniorenarbeit', 'Ambulante Wohnbetreuung', 'Diätetik', 'Digitale Pflegeanwendungen', 'Freizeitgestaltung', 'Gerontopsychiatrie (Pflege, Assistenz)', 'Geronto-Sozial-Therapie', 'Gesundheitsvorsorge (Prävention)', 'Homecare-Versorgung', 'Indirekte Pflege', 'Krankenhausinformationssysteme', 'Pflegebegutachtung (Pflegegrade 1-5)', 'Pharmakologie', 'Qualitätsmanagement', 'Rehabilitation (Pflege, Assistenz)', 'Spritzen intramuskulär (im)', 'Spritzen subkutan (sc)']",
14640,Altentherapeut/in,Andere Weiterbildung,"['Altentherapie, Gerontotherapie', 'Angehörigenberatung', 'Freizeitgestaltung', 'Gerontopsychologie', 'Sterbebegleitung']","['Altenarbeit, Seniorenarbeit', 'Altenpflege', 'Ambulante Wohnbetreuung', 'Geronto-Sozial-Therapie', 'Gesundheitsvorsorge (Prävention)', 'Pflegeberatung', 'Rehabilitation', 'Theatertherapie']",
94172,Altertumswissenschaften (grundständig),Studienfach,,,
94234,Altertumswissenschaften (weiterführend),Studienfach,,,
100535,Altertumswissenschaftler/in,Tätigkeit nach Studium,"['Altphilologie', 'Fachpublikationen erstellen', 'Forschung', 'Griechisch', 'Kulturgeschichte', 'Latein', 'Quellenmaterial auswerten (Geschichte)']","['Archäologie', 'Katalogisieren, Bestanderschließung (Archiv, Bibl., Museum)', 'Lehrtätigkeit (Hochschule)', 'Lexikografie', 'Literaturgeschichte', 'Museumspädagogik', 'Öffentlichkeitsarbeit, Public Relations', 'Recherche, Informationsbeschaffung', 'Redaktion', 'Sprachwissenschaft', 'Unterricht, Schulung (außerschulischer Bereich)', 'Vor- und Frühgeschichte', 'Wissenschaftliche Reisebetreuung']",
15615,Ambulante/r Pfleger/in,Berufliche Einsatzmöglichkeit,"['Allgemeinmedizin (Pflege, Assistenz)', 'Ambulante/mobile Pflege', 'Ambulante Wohnbetreuung', 'Behandlungspflege', 'Grundpflege', 'Patientenbetreuung']","['Abrechnung', 'Altenpflege', 'Beatmungspflege (invasiv, nicht-invasiv)', 'Geburtshilfe, Entbindungspflege', 'Gesundheitsvorsorge (Prävention)', 'Homecare-Versorgung', 'Kinderheilkunde (Pflege, Assistenz)', 'Krankenpflege', 'Krankentransport', 'Pflegedokumentation', 'Pharmakologie', 'Qualitätsmanagement', 'Rehabilitation (Pflege, Assistenz)', 'Säuglingspflege']",
13952,Amtliche/r Fachassistent/in (Fleischkontrolleur/in),Sonstige Ausbildung,"['Belehrung nach Infektionsschutzgesetz (Gesundheitszeugnis)', 'Fleisch- und Geflügelfleischhygiene', 'Fleischuntersuchung, -kontrolle', 'Fleischwaren, Wurstwaren', 'Lebensmittelsicherheitssystem HACCP', 'Probenahme', 'Schlachtvieh beurteilen', 'Tierphysiologie', 'Trichinenuntersuchung']","['Arbeits- und Sozialhygiene', 'Dokumentation (technisch)', 'Fleischverarbeitung, Fleischtechnik', 'Geflügelschlachtung, -zerlegung, -verarbeitung', 'Laborarbeiten, Labortechnik', 'Lebensmittelhygiene', 'Lebensmittelkontrolle, -überwachung', 'Lebensmittelrecht', 'Lebensmitteluntersuchung', 'Ordnungswidrigkeitenrecht', 'Parasitologie', 'Qualitätsprüfung, Qualitätssicherung', 'Reinigungs- und Hygienetechnik', 'Schlachten', 'Tierhaltung, Tierproduktion', 'Tierkrankheiten', 'Tierschutz', 'Tierseuchenbekämpfung, Tierüberwachung', 'Viehtransport, Tiertransport', 'Zerlegen (Fleischerei)']",
51027,Anästhesietechnische/r Assistent/in,Sonstige Ausbildung,"['Anästhesie (Pflege, Assistenz)', 'Desinfektion', 'Krankenhaus-, Praxishygiene', 'Patientenbetreuung', 'Sterilisation']","['Büro- und Verwaltungsarbeiten', 'Chirurgie (Pflege, Assistenz)', 'Endoskopie (Pflege, Assistenz)', 'Intensivmedizin (Pflege, Assistenz)', 'Krankenhausinformationssysteme', 'Medizintechnik, biomedizinische Technik', 'Notfallmedizin (nichtärztlich)', 'Operationsdienst (Assistenz)', 'Pharmakologie', 'Schmerztherapie', 'Strahlenschutz']",
5281,Analytiker/in - Chemie,Berufliche Einsatzmöglichkeit,"['Analyse', 'Analytische Chemie', 'Biochemie', 'Chemische Untersuchungs- und Messverfahren', 'Entwicklung', 'Forschung', 'Laborarbeiten, Labortechnik', 'Versuchsdurchführung und -auswertung', 'Versuchsplanung']","['Anwendungstechnik, Anwendungsberatung', 'Fachpublikationen erstellen', 'Gutachter-, Sachverständigentätigkeit', 'Laborsteuersoftware (DasyLab, Visio, Labview)', 'Lehrtätigkeit (Hochschule)', 'Patent- und Markenrecht', 'Produktmanagement', 'Projektmanagement', 'Qualitätsprüfung, Qualitätssicherung', 'Spektroskopie', 'Vortragstätigkeit', 'Wissenschaftliche Dokumentation']",
94283,Angewandte Naturwissenschaft (grundständig),Studienfach,,,
94036,Angewandte Naturwissenschaft (weiterführend),Studienfach,,,
58681,Anglist/in / Amerikanist/in,Tätigkeit nach Studium,"['Anglistik', 'Englisch', 'Fachpublikationen erstellen', 'Forschung', 'Linguistik, Phonetik', 'Literaturwissenschaften', 'Sprachwissenschaft']","['Amerikanistik', 'Dolmetschen, Übersetzen', 'Interkulturelle Kommunikation', 'Kulturgeografie', 'Kulturgeschichte', 'Lehrtätigkeit (Hochschule)', 'Lektorat', 'Lexikografie', 'Literaturübersetzung', 'Publizistik, Journalistik', 'Recherche, Informationsbeschaffung', 'Redaktion', 'Unterricht, Schulung (außerschulischer Bereich)', 'Unterricht (schulischer Bereich)']",
93860,"Anglistik, Amerikanistik (grundständig)",Studienfach,,,
94360,"Anglistik, Amerikanistik (weiterführend)",Studienfach,,,
14509,Animateur/in - Freizeit,Sonstige Ausbildung,"['Animation (Tourismus)', 'Freizeitgestaltung', 'Gästebetreuung']","['Freizeit-, Ferienbetreuung', 'Führungen veranstalten', 'Gymnastik', 'Reiseleitung', 'Spielpädagogik', 'Tanzen']",
27308,Animationskünstler/in,Berufliche Einsatzmöglichkeit,"['Improvisation', 'Interpretieren', 'Moderation', 'Parodie', 'Rhetorik']","['Akrobatik', 'Atem-, Stimm- und Sprechgestaltung', 'Bauchreden', 'Conferenciertätigkeit', 'Gesang', 'Kabarett', 'Komik', 'Pantomime', 'Produktion (Bühne, Film, Fernsehen, Video, Audiovision)', 'Rollenstudium', 'Solo', 'Stimmbildung', 'Tanzen', 'Travestie Show', 'Varieté', 'Vorstellungstätigkeit']",
14324,Ankleider/in / Garderobier/e,Berufliche Einsatzmöglichkeit,"['An- und Umkleiden (Theater)', 'Bügeln', 'Nähen', 'Wäsche- und Kleiderpflege']","['Änderungsschneiderei', 'Kostüme, Fundus verwalten', 'Textil - Materialkunde', 'Theaterschneiderei']",
6773,Anlageberater/in,Berufliche Einsatzmöglichkeit,"['Akquisition', 'Anlage-, Vermögensberatung', 'Finanzdienstleistungsberatung', 'Finanzwirtschaft', 'Kundenberatung, -betreuung', 'Spar- und Anlagegeschäft', 'Wertpapiergeschäft']","['Bauspargeschäft', 'Firmenkundengeschäft', 'Lebensversicherung', 'Privatkundengeschäft', 'Steuerrecht', 'Wertpapieranalyse, Aktienanalyse']",
29047,Anlagenmechaniker/in,Duale Ausbildung,"['Anlagenbau', 'Arbeit nach Zeichnung', 'Behälter- und Apparatebau', 'Blechbearbeitung', 'CNC-Kenntnisse, CNC-Programmieren', 'Maschinenführung, Anlagenführung, -bedienung', 'Mess-, Steuer-, Regeltechnik (MSR)', 'Montage (Metall, Anlagenbau)', 'Rohre und Behälter dämmen', 'Rohrleitungsbau', 'Schweißtechnik', 'Versorgungstechnik', 'Wartung, Reparatur, Instandhaltung']","['3D-Visualisierungsprogramme', 'Abwicklungen, isometrische Kenntnisse', 'Arbeitsvorbereitung', 'CAD (Computer Aided Design)-Systeme anwenden', 'Druckprüfung (Rohrleitungs-, Behälterbau)', 'Elektrotechnik', 'Fräsen', 'Gleitringdichtungen', 'Heizungstechnik', 'Hochdruckrohre', 'Korrosionsschutz', 'Maschineneinrichtung, Anlageneinrichtung', 'Maschinentechnik', 'Messen, Prüfen (Metalltechnik)', 'Nieten', 'Qualitätsprüfung, Qualitätssicherung', 'SPS-Programmierung, SPS-Technik']",
15164,"Anlagenmechaniker/in - Sanitär-, Heizungs- und Klimatechnik",Duale Ausbildung,"['Haustechnik', 'Heizungstechnik', 'Klimatechnik', 'Lüftungstechnik', 'Mess-, Steuer-, Regeltechnik (MSR)', 'Montage (Versorgungstechnik)', 'Pellets-, Hackschnitzelheizanlagen', 'Rohrinstallation', 'Sanitärinstallation', 'Versorgungstechnik']","['Arbeitsvorbereitung', 'Badplanung', 'Blechbearbeitung', 'Brandschutz', 'Dampfkesselanlagen', 'Elektrotechnik', 'Fotovoltaik', 'Gebäudedämmung (Wärmeschutz) herstellen', 'Kundendienst', 'Qualitätsprüfung, Qualitätssicherung', 'Sachkunde für den Betrieb von Kesselanlagen', 'Sachkundenachweis nach § 5 Chemikalien-Klimaschutzverordnung', 'Schalldämmungen herstellen', 'Solarthermie', 'Wärme- und Kältedämmungen herstellen', 'Wartung, Reparatur, Instandhaltung', 'Wasseraufbereitungsanlagen']",
2968,Antennenmonteur/in,Berufliche Einsatzmöglichkeit,"['Antennenbau, -technik', 'Arbeit in Höhen (Sicherung gegen Absturz)', 'Empfangsanlagen', 'Funktechnik', 'Montage (Elektrotechnik)', 'Sendeanlagen, -technik']","['Arbeitsschutz, Unfallverhütung', 'Dokumentation (technisch)', 'Elektronik', 'Elektrotechnik', 'Entstören', 'Mess-, Steuer-, Regeltechnik (MSR)', 'Mobilfunkgeräte, -technik', 'Nachrichtentechnik, Kommunikationstechnik', 'Qualitätsprüfung, Qualitätssicherung', 'Radaranlagen, -technik', 'SAT-Anlagen, Satellitenkommunikation', 'Wartung, Reparatur, Instandhaltung']",
59169,Anthropologe/Anthropologin,Tätigkeit nach Studium,"['Anthropologie, Humanbiologie', 'Ethnologie (Völkerkunde)', 'Fachpublikationen erstellen', 'Forschung', 'Kulturgeschichte', 'Morphologie', 'Sozialanthropologie', 'Volkskunde, Kulturanthropologie']","['Evolutionsbiologie', 'Genetik', 'Gutachter-, Sachverständigentätigkeit', 'Katalogisieren, Bestanderschließung (Archiv, Bibl., Museum)', 'Komparatistik (Vergleichende Wissenschaften)', 'Kultur-, Regionalwissenschaften', 'Lehrtätigkeit (Hochschule)', 'Museumspädagogik', 'Projektmanagement', 'Recherche, Informationsbeschaffung', 'Rechtsmedizin (ärztlich)', 'Vortragstätigkeit', 'Wissenschaftliche Dokumentation']",
7754,Anwendungsberater/in,Berufliche Einsatzmöglichkeit,"['Anwenderberatung, Anwender-Support (IT)', 'Anwendungstechnik, Anwendungsberatung', 'Informationstechnik, Computertechnik', 'Kundenberatung, -betreuung', 'Softwaretechnik, Software-Engineering', 'Systemsoftware (Entwicklung, Programmierung, Analyse)']","['Datenbankadministration, -management, -organisation', 'Datenschutz', 'EDV-Anwender-Training', 'First-Level-Support', 'Hardwareinstallation, Softwareinstallation', 'Internet-, Intranettechnik', 'IT-Koordination', 'Kundendienst', 'Multimediasysteme, -technik', 'Präsentation', 'Programmieren', 'Second-Level-Support', 'Sicherheitssysteme (IT), Datensicherheit', 'Systemintegration', 'Unterricht, Schulung (außerschulischer Bereich)']",
7070,Anzeigenverkäufer/in,Berufliche Einsatzmöglichkeit,"['Akquisition', 'Anzeigengeschäft', 'Kundenberatung, -betreuung', 'Verkauf']","['Anzeigenwerbung', 'Außendienst', 'Drucktechnik', 'Kalkulation', 'Marketing', 'Media-Planung', 'Plakatwerbung', 'Prospektwerbung', 'Radiowerbung', 'Social-Media-Kommunikation', 'Verkaufsförderung', 'Verkehrsmittelwerbung', 'Vertragsrecht', 'Vertrieb', 'Werbemittel']",
58682,Apotheker/in,Tätigkeit nach Studium,"['Arzneimittelentwicklung', 'Arzneimittelinformation', 'Arzneimittelprüfung', 'Entwicklung', 'Ernährungsberatung', 'Forschung', 'Galenik', 'Internationale pharmazeutische Standards (z.B. GLP, GMP)', 'Kundenberatung, -betreuung', 'Pharmakologie', 'Pharmazeutische Chemie', 'Pharmazeutische Technologie', 'Sortimentsgestaltung', 'Toxikologie', 'Verkauf']","['Approbation', 'Arzneimittelrecht', 'Betriebsleitung, Betriebsführung', 'Biochemie', 'Fachpublikationen erstellen', 'Gesundheitsvorsorge (Prävention)', 'Gutachter-, Sachverständigentätigkeit', 'Herstellungs- und Kontrollleitung (AMG)', 'Klinische Forschung', 'Klinische Prüfung (Arzneimittel)', 'Lehrtätigkeit (Hochschule)', 'Marketing', 'Mikrobiologie', 'Patent- und Markenrecht', 'Pflegeversorgung (Apothekerweiterbildung)', 'Pharmakovigilanz', 'Produktmanagement', 'Qualitätsmanagement', 'Regulatory Affairs (Arzneimittelzulassung)', 'Sachkundenachweis Arzneimittelherstellung (§ 15 AMG)']",
27476,Apothekerassistent/in,Berufliche Einsatzmöglichkeit,"['Apothekenbetriebslehre', 'Arbeit nach Rezeptur', 'Arzneimittelabgabe', 'Defektur', 'Drogenkunde', 'Kundenberatung, -betreuung', 'Laborarbeiten, Labortechnik', 'Verkauf']","['Abrechnung', 'Büro- und Verwaltungsarbeiten', 'Chemische Untersuchungs- und Messverfahren', 'Diätetik', 'Einkauf, Beschaffung', 'Lagerwirtschaft', 'Medizinische Dokumentation', 'Pharmakologie', 'Pharmazeutische Chemie', 'Physikalische Mess-, Prüfverfahren', 'Probenahme', 'Toxikologie', 'Warenannahme, Wareneingangskontrolle']",
14991,Application-Engineer/-Manager/in,Berufliche Einsatzmöglichkeit,"['Anwendungstechnik, Anwendungsberatung', 'Elektronik', 'Elektrotechnik', 'Informationstechnik, Computertechnik', 'Kalkulation', 'Kundendienst', 'Maschinentechnik', 'Mechatronik', 'Projektierung']","['Automatisierungstechnik, Prozessautomatisierung', 'Betriebswirtschaftslehre', 'Datenübernahme, Datenaufbereitung', 'Fahrzeugbau, -technik', 'Fertigungstechnik', 'Hardwareinstallation, Softwareinstallation', 'Kundenberatung, -betreuung', 'Luft- und Raumfahrttechnik', 'Mess-, Steuer-, Regeltechnik (MSR)', 'Mikroelektronik', 'Modellbildung, Simulation (IT)', 'Nachrichtentechnik, Kommunikationstechnik', 'Pre-Sales-Service', 'Technische Informatik', 'Verfahrenstechnik', 'Vertrieb']",
59171,Arabist/in,Tätigkeit nach Studium,"['Arabisch', 'Arabistik', 'Fachpublikationen erstellen', 'Forschung', 'Linguistik, Phonetik', 'Literaturwissenschaften', 'Sprachwissenschaft']","['Dolmetschen, Übersetzen', 'Interkulturelle Kommunikation', 'Kulturgeografie', 'Kulturgeschichte', 'Lehrtätigkeit (Hochschule)', 'Lektorat', 'Lexikografie', 'Literaturübersetzung', 'Orientalistik', 'Publizistik, Journalistik', 'Recherche, Informationsbeschaffung', 'Redaktion', 'Unterricht, Schulung (außerschulischer Bereich)']",
94355,Arabistik (grundständig),Studienfach,,,
